student_id,course_code,internal,external,total,grade
S2023CS006,CS307,34.0,56.0,90.0,A+
S2023CS006,CS308,26.0,48.0,74.0,A
S2023CS007,CS301,27.0,43.0,70.0,B+
S2023CS007,CS302,27.0,36.0,63.0,B+
S2023CS007,CS303,29.0,40.0,69.0,B+
S2023CS007,CS304,34.0,42.0,76.0,A
S2023CS007,CS305,23.0,42.0,65.0,B+
S2023CS007,CS306,24.0,42.0,66.0,B+
S2023CS007,CS307,26.0,30.0,56.0,B
S2023CS007,CS308,29.0,32.0,61.0,B+
S2023CS008,CS301,25.0,30.0,55.0,C
S2023CS008,CS302,22.0,30.0,52.0,C
S2023CS008,CS303,23.0,30.0,53.0,C
S2023CS008,CS304,22.0,30.0,52.0,C
S2023CS008,CS305,22.0,36.0,58.0,B
S2023CS008,CS306,22.0,30.0,52.0,C
S2023CS008,CS307,22.0,30.0,52.0,C
S2023CS008,CS308,26.0,30.0,56.0,B
S2023CS009,CS301,33.0,47.0,80.0,A
S2023CS009,CS302,27.0,41.0,68.0,B+
S2023CS009,CS303,26.0,36.0,62.0,B+
S2023CS009,CS304,34.0,42.0,76.0,A
S2023CS009,CS305,32.0,47.0,79.0,A
S2023CS009,CS306,27.0,36.0,63.0,B+
S2023CS009,CS307,26.0,44.0,70.0,B+
S2023CS009,CS308,24.0,52.0,76.0,A
S2023CS010,CS301,25.0,39.0,64.0,B+
S2023CS010,CS302,23.0,32.0,55.0,C
S2023CS010,CS303,27.0,38.0,65.0,B+
S2023CS010,CS304,25.0,41.0,66.0,B+
S2023CS010,CS305,28.0,45.0,73.0,A
S2023CS010,CS306,28.0,37.0,65.0,B+
S2023CS010,CS307,23.0,40.0,63.0,B+
S2023CS010,CS308,22.0,32.0,54.0,C
S2023CS011,CS301,26.0,48.0,74.0,A
S2023CS011,CS302,29.0,40.0,69.0,B+
S2023CS011,CS303,24.0,19.0,43.0,U
S2023CS011,CS304,34.0,48.0,82.0,A+
S2023CS011,CS305,29.0,36.0,65.0,B+
S2023CS011,CS306,26.0,17.0,43.0,U
S2023CS011,CS307,31.0,48.0,79.0,A
S2023CS011,CS308,29.0,46.0,75.0,A
S2023CS012,CS301,27.0,44.0,71.0,A
S2023CS012,CS302,33.0,38.0,71.0,A
S2023CS012,CS303,27.0,36.0,63.0,B+
S2023CS012,CS304,29.0,40.0,69.0,B+
S2023CS012,CS305,30.0,49.0,79.0,A
S2023CS012,CS306,31.0,41.0,72.0,A
S2023CS012,CS307,30.0,41.0,71.0,A
S2023CS012,CS308,27.0,43.0,70.0,B+
S2023CS013,CS301,28.0,43.0,71.0,A
S2023CS013,CS302,27.0,35.0,62.0,B+
S2023CS013,CS303,34.0,45.0,79.0,A
S2023CS013,CS304,29.0,44.0,73.0,A
S2023CS013,CS305,31.0,41.0,72.0,A
S2023CS013,CS306,25.0,35.0,60.0,B
S2023CS013,CS307,24.0,34.0,58.0,B
S2023CS013,CS308,25.0,45.0,70.0,B+
S2023CS014,CS301,23.0,30.0,53.0,C
S2023CS014,CS302,27.0,37.0,64.0,B+
S2023CS014,CS303,22.0,30.0,52.0,C
S2023CS014,CS304,24.0,34.0,58.0,B
S2023CS014,CS305,24.0,42.0,66.0,B+
S2023CS014,CS306,26.0,38.0,64.0,B+
S2023CS014,CS307,23.0,42.0,65.0,B+
S2023CS014,CS308,24.0,37.0,61.0,B+
S2023CS015,CS301,26.0,48.0,74.0,A
S2023CS015,CS302,34.0,44.0,78.0,A
S2023CS015,CS303,24.0,41.0,65.0,B+
S2023CS015,CS304,34.0,47.0,81.0,A+
S2023CS015,CS305,33.0,50.0,83.0,A+
S2023CS015,CS306,31.0,30.0,61.0,B+
S2023CS015,CS307,26.0,41.0,67.0,B+
S2023CS015,CS308,22.0,35.0,57.0,B
S2023CS016,CS301,27.0,46.0,73.0,A
S2023CS016,CS302,22.0,31.0,53.0,C
S2023CS016,CS303,27.0,41.0,68.0,B+
S2023CS016,CS304,22.0,37.0,59.0,B
S2023CS016,CS305,32.0,42.0,74.0,A
S2023CS016,CS306,22.0,39.0,61.0,B+
S2023CS016,CS307,30.0,45.0,75.0,A
S2023CS016,CS308,28.0,38.0,66.0,B+
S2023CS017,CS301,31.0,46.0,77.0,A
S2023CS017,CS302,27.0,51.0,78.0,A
S2023CS017,CS303,24.0,43.0,67.0,B+
S2023CS017,CS304,26.0,49.0,75.0,A
S2023CS017,CS305,28.0,40.0,68.0,B+
S2023CS017,CS306,28.0,49.0,77.0,A
S2023CS017,CS307,29.0,47.0,76.0,A
S2023CS017,CS308,22.0,45.0,67.0,B+
S2023CS018,CS301,22.0,30.0,52.0,C
S2023CS018,CS302,32.0,38.0,70.0,B+
S2023CS018,CS303,29.0,43.0,72.0,A
S2023CS018,CS304,22.0,34.0,56.0,B
S2023CS018,CS305,20.0,21.0,41.0,U
S2023CS018,CS306,22.0,35.0,57.0,B
S2023CS018,CS307,22.0,32.0,54.0,C
S2023CS018,CS308,22.0,30.0,52.0,C
S2023CS019,CS301,25.0,49.0,74.0,A
S2023CS019,CS302,31.0,46.0,77.0,A
S2023CS019,CS303,22.0,44.0,66.0,B+
S2023CS019,CS304,27.0,36.0,63.0,B+
S2023CS019,CS305,34.0,47.0,81.0,A+
S2023CS019,CS306,28.0,30.0,58.0,B
S2023CS019,CS307,23.0,42.0,65.0,B+
S2023CS019,CS308,26.0,40.0,66.0,B+
S2023CS020,CS301,30.0,32.0,62.0,B+
S2023CS020,CS302,22.0,35.0,57.0,B
S2023CS020,CS303,22.0,43.0,65.0,B+
S2023CS020,CS304,27.0,33.0,60.0,B
S2023CS020,CS305,30.0,50.0,80.0,A
S2023CS020,CS306,29.0,43.0,72.0,A
S2023CS020,CS307,29.0,35.0,64.0,B+
S2023CS020,CS308,25.0,43.0,68.0,B+
S2023CS021,CS301,35.0,53.0,88.0,A+
S2023CS021,CS302,30.0,46.0,76.0,A
S2023CS021,CS303,29.0,55.0,84.0,A+
S2023CS021,CS304,36.0,46.0,82.0,A+
S2023CS021,CS305,29.0,53.0,82.0,A+
S2023CS021,CS306,36.0,48.0,84.0,A+
S2023CS021,CS307,38.0,57.0,95.0,O
S2023CS021,CS308,35.0,55.0,90.0,A+
S2023CS022,CS301,35.0,48.0,83.0,A+
S2023CS022,CS302,28.0,42.0,70.0,B+
S2023CS022,CS303,35.0,45.0,80.0,A
S2023CS022,CS304,36.0,54.0,90.0,A+
S2023CS022,CS305,39.0,54.0,93.0,O
S2023CS022,CS306,29.0,44.0,73.0,A
S2023CS022,CS307,38.0,48.0,86.0,A+
S2023CS022,CS308,40.0,58.0,98.0,O
S2023CS023,CS301,28.0,36.0,64.0,B+
S2023CS023,CS302,33.0,48.0,81.0,A+
S2023CS023,CS303,27.0,38.0,65.0,B+
S2023CS023,CS304,29.0,44.0,73.0,A
S2023CS023,CS305,35.0,36.0,71.0,A
S2023CS023,CS306,32.0,48.0,80.0,A
S2023CS023,CS307,25.0,40.0,65.0,B+
S2023CS023,CS308,37.0,49.0,86.0,A+
S2023CS024,CS301,27.0,36.0,63.0,B+
S2023CS024,CS302,31.0,40.0,71.0,A
S2023CS024,CS303,26.0,36.0,62.0,B+
S2023CS024,CS304,26.0,43.0,69.0,B+
S2023CS024,CS305,22.0,30.0,52.0,C
S2023CS024,CS306,26.0,39.0,65.0,B+
S2023CS024,CS307,26.0,44.0,70.0,B+
S2023CS024,CS308,33.0,37.0,70.0,B+
S2023CS025,CS301,26.0,39.0,65.0,B+
S2023CS025,CS302,27.0,50.0,77.0,A
S2023CS025,CS303,33.0,50.0,83.0,A+
S2023CS025,CS304,33.0,47.0,80.0,A
S2023CS025,CS305,36.0,55.0,91.0,O
S2023CS025,CS306,34.0,46.0,80.0,A
S2023CS025,CS307,34.0,50.0,84.0,A+
S2023CS025,CS308,36.0,53.0,89.0,A+
S2023CS026,CS301,34.0,56.0,90.0,A+
S2023CS026,CS302,35.0,51.0,86.0,A+
S2023CS026,CS303,34.0,44.0,78.0,A
S2023CS026,CS304,38.0,50.0,88.0,A+
S2023CS026,CS305,37.0,49.0,86.0,A+
S2023CS026,CS306,33.0,47.0,80.0,A
S2023CS026,CS307,17.0,16.0,33.0,U
S2023CS026,CS308,33.0,46.0,79.0,A
S2023CS027,CS301,23.0,34.0,57.0,B
S2023CS027,CS302,26.0,30.0,56.0,B
S2023CS027,CS303,30.0,36.0,66.0,B+
S2023CS027,CS304,24.0,46.0,70.0,B+
S2023CS027,CS305,25.0,34.0,59.0,B
S2023CS027,CS306,23.0,30.0,53.0,C
S2023CS027,CS307,25.0,34.0,59.0,B
S2023CS027,CS308,25.0,30.0,55.0,C
S2023CS028,CS301,31.0,37.0,68.0,B+
S2023CS028,CS302,29.0,36.0,65.0,B+
S2023CS028,CS303,29.0,45.0,74.0,A
S2023CS028,CS304,33.0,51.0,84.0,A+
S2023CS028,CS305,32.0,45.0,77.0,A
S2023CS028,CS306,30.0,37.0,67.0,B+
S2023CS028,CS307,33.0,51.0,84.0,A+
S2023CS028,CS308,32.0,52.0,84.0,A+
S2023CS029,CS301,27.0,39.0,66.0,B+
S2023CS029,CS302,23.0,37.0,60.0,B
S2023CS029,CS303,32.0,32.0,64.0,B+
S2023CS029,CS304,25.0,39.0,64.0,B+
S2023CS029,CS305,22.0,35.0,57.0,B
S2023CS029,CS306,28.0,45.0,73.0,A
S2023CS029,CS307,22.0,34.0,56.0,B
S2023CS029,CS308,22.0,35.0,57.0,B
S2023CS030,CS301,28.0,37.0,65.0,B+
S2023CS030,CS302,26.0,49.0,75.0,A
S2023CS030,CS303,23.0,36.0,59.0,B
S2023CS030,CS304,32.0,43.0,75.0,A
S2023CS030,CS305,25.0,42.0,67.0,B+
S2023CS030,CS306,28.0,42.0,70.0,B+
S2023CS030,CS307,28.0,42.0,70.0,B+
S2023CS030,CS308,27.0,44.0,71.0,A
S2023CS031,CS301,24.0,51.0,75.0,A
S2023CS031,CS302,27.0,48.0,75.0,A
S2023CS031,CS303,29.0,36.0,65.0,B+
S2023CS031,CS304,29.0,43.0,72.0,A
S2023CS031,CS305,23.0,44.0,67.0,B+
S2023CS031,CS306,22.0,37.0,59.0,B
S2023CS031,CS307,27.0,43.0,70.0,B+
S2023CS031,CS308,16.0,20.0,36.0,U
S2023CS032,CS301,25.0,30.0,55.0,C
S2023CS032,CS302,22.0,40.0,62.0,B+
S2023CS032,CS303,23.0,33.0,56.0,B
S2023CS032,CS304,22.0,30.0,52.0,C
S2023CS032,CS305,23.0,33.0,56.0,B
S2023CS032,CS306,24.0,30.0,54.0,C
S2023CS032,CS307,22.0,30.0,52.0,C
S2023CS032,CS308,22.0,39.0,61.0,B+
S2023CS033,CS301,23.0,46.0,69.0,B+
S2023CS033,CS302,30.0,46.0,76.0,A
S2023CS033,CS303,26.0,49.0,75.0,A
S2023CS033,CS304,24.0,39.0,63.0,B+
S2023CS033,CS305,31.0,40.0,71.0,A
S2023CS033,CS306,28.0,42.0,70.0,B+
S2023CS033,CS307,30.0,39.0,69.0,B+
S2023CS033,CS308,28.0,50.0,78.0,A
S2023CS034,CS301,36.0,43.0,79.0,A
S2023CS034,CS302,23.0,45.0,68.0,B+
S2023CS034,CS303,31.0,40.0,71.0,A
S2023CS034,CS304,32.0,40.0,72.0,A
S2023CS034,CS305,31.0,46.0,77.0,A
S2023CS034,CS306,32.0,42.0,74.0,A
S2023CS034,CS307,27.0,43.0,70.0,B+
S2023CS034,CS308,33.0,51.0,84.0,A+
S2023CS035,CS301,22.0,30.0,52.0,C
S2023CS035,CS302,22.0,30.0,52.0,C
S2023CS035,CS303,30.0,46.0,76.0,A
S2023CS035,CS304,23.0,39.0,62.0,B+
S2023CS035,CS305,27.0,31.0,58.0,B
S2023CS035,CS306,31.0,33.0,64.0,B+
S2023CS035,CS307,33.0,41.0,74.0,A
S2023CS035,CS308,23.0,38.0,61.0,B+
S2023CS036,CS301,36.0,42.0,78.0,A
S2023CS036,CS302,33.0,44.0,77.0,A
S2023CS036,CS303,27.0,42.0,69.0,B+
S2023CS036,CS304,26.0,31.0,57.0,B
S2023CS036,CS305,26.0,43.0,69.0,B+
S2023CS036,CS306,24.0,37.0,61.0,B+
S2023CS036,CS307,27.0,30.0,57.0,B
S2023CS036,CS308,26.0,36.0,62.0,B+
S2023CS037,CS301,23.0,32.0,55.0,C
S2023CS037,CS302,28.0,38.0,66.0,B+
S2023CS037,CS303,25.0,31.0,56.0,B
S2023CS037,CS304,25.0,38.0,63.0,B+
S2023CS037,CS305,22.0,31.0,53.0,C
S2023CS037,CS306,22.0,30.0,52.0,C
S2023CS037,CS307,23.0,36.0,59.0,B
S2023CS037,CS308,25.0,30.0,55.0,C
S2023CS038,CS301,26.0,44.0,70.0,B+
S2023CS038,CS302,27.0,41.0,68.0,B+
S2023CS038,CS303,22.0,34.0,56.0,B
S2023CS038,CS304,34.0,37.0,71.0,A
S2023CS038,CS305,33.0,40.0,73.0,A
S2023CS038,CS306,32.0,42.0,74.0,A
S2023CS038,CS307,27.0,39.0,66.0,B+
S2023CS038,CS308,32.0,39.0,71.0,A
S2023CS039,CS301,26.0,47.0,73.0,A
S2023CS039,CS302,28.0,50.0,78.0,A
S2023CS039,CS303,24.0,43.0,67.0,B+
S2023CS039,CS304,24.0,39.0,63.0,B+
S2023CS039,CS305,25.0,37.0,62.0,B+
S2023CS039,CS306,28.0,43.0,71.0,A
S2023CS039,CS307,24.0,44.0,68.0,B+
S2023CS039,CS308,25.0,43.0,68.0,B+
S2023CS040,CS301,27.0,41.0,68.0,B+
S2023CS040,CS302,37.0,47.0,84.0,A+
S2023CS040,CS303,37.0,49.0,86.0,A+
S2023CS040,CS304,30.0,46.0,76.0,A
S2023CS040,CS305,36.0,55.0,91.0,O
S2023CS040,CS306,25.0,43.0,68.0,B+
S2023CS040,CS307,27.0,41.0,68.0,B+
S2023CS040,CS308,31.0,43.0,74.0,A
S2023CS041,CS301,25.0,39.0,64.0,B+
S2023CS041,CS302,30.0,39.0,69.0,B+
S2023CS041,CS303,37.0,49.0,86.0,A+
S2023CS041,CS304,26.0,38.0,64.0,B+
S2023CS041,CS305,34.0,40.0,74.0,A
S2023CS041,CS306,37.0,49.0,86.0,A+
S2023CS041,CS307,26.0,34.0,60.0,B
S2023CS041,CS308,24.0,42.0,66.0,B+
S2023CS042,CS301,30.0,41.0,71.0,A
S2023CS042,CS302,27.0,46.0,73.0,A
S2023CS042,CS303,28.0,40.0,68.0,B+
S2023CS042,CS304,24.0,40.0,64.0,B+
S2023CS042,CS305,29.0,41.0,70.0,B+
S2023CS042,CS306,22.0,17.0,39.0,U
S2023CS042,CS307,31.0,49.0,80.0,A
S2023CS042,CS308,16.0,20.0,36.0,U
S2023CS043,CS301,36.0,49.0,85.0,A+
S2023CS043,CS302,31.0,52.0,83.0,A+
S2023CS043,CS303,34.0,54.0,88.0,A+
S2023CS043,CS304,33.0,43.0,76.0,A
S2023CS043,CS305,33.0,48.0,81.0,A+
S2023CS043,CS306,33.0,45.0,78.0,A
S2023CS043,CS307,24.0,44.0,68.0,B+
S2023CS043,CS308,28.0,47.0,75.0,A
S2023CS044,CS301,28.0,42.0,70.0,B+
S2023CS044,CS302,29.0,44.0,73.0,A
S2023CS044,CS303,31.0,46.0,77.0,A
S2023CS044,CS304,25.0,48.0,73.0,A
S2023CS044,CS305,29.0,43.0,72.0,A
S2023CS044,CS306,24.0,38.0,62.0,B+
S2023CS044,CS307,24.0,42.0,66.0,B+
S2023CS044,CS308,25.0,37.0,62.0,B+
S2023CS045,CS301,28.0,30.0,58.0,B
S2023CS045,CS302,29.0,33.0,62.0,B+
S2023CS045,CS303,30.0,37.0,67.0,B+
S2023CS045,CS304,27.0,40.0,67.0,B+
S2023CS045,CS305,23.0,44.0,67.0,B+
S2023CS045,CS306,22.0,34.0,56.0,B
S2023CS045,CS307,27.0,45.0,72.0,A
S2023CS045,CS308,26.0,43.0,69.0,B+
S2023CS046,CS301,27.0,38.0,65.0,B+
S2023CS046,CS302,24.0,30.0,54.0,C
S2023CS046,CS303,22.0,33.0,55.0,C
S2023CS046,CS304,22.0,31.0,53.0,C
S2023CS046,CS305,23.0,30.0,53.0,C
S2023CS046,CS306,22.0,30.0,52.0,C
S2023CS046,CS307,27.0,35.0,62.0,B+
S2023CS046,CS308,22.0,30.0,52.0,C
S2023CS047,CS301,22.0,36.0,58.0,B
S2023CS047,CS302,23.0,41.0,64.0,B+
S2023CS047,CS303,26.0,35.0,61.0,B+
S2023CS047,CS304,22.0,35.0,57.0,B
S2023CS047,CS305,29.0,34.0,63.0,B+
S2023CS047,CS306,28.0,41.0,69.0,B+
S2023CS047,CS307,29.0,38.0,67.0,B+
S2023CS047,CS308,32.0,41.0,73.0,A
S2023CS048,CS301,31.0,36.0,67.0,B+
S2023CS048,CS302,30.0,38.0,68.0,B+
S2023CS048,CS303,28.0,42.0,70.0,B+
S2023CS048,CS304,30.0,48.0,78.0,A
S2023CS048,CS305,29.0,43.0,72.0,A
S2023CS048,CS306,22.0,44.0,66.0,B+
S2023CS048,CS307,33.0,43.0,76.0,A
S2023CS048,CS308,29.0,49.0,78.0,A
S2023CS049,CS301,27.0,43.0,70.0,B+
S2023CS049,CS302,30.0,42.0,72.0,A
S2023CS049,CS303,27.0,39.0,66.0,B+
S2023CS049,CS304,29.0,37.0,66.0,B+
S2023CS049,CS305,32.0,46.0,78.0,A
S2023CS049,CS306,26.0,35.0,61.0,B+
S2023CS049,CS307,26.0,43.0,69.0,B+
S2023CS049,CS308,25.0,34.0,59.0,B
S2023CS050,CS301,29.0,50.0,79.0,A
S2023CS050,CS302,32.0,40.0,72.0,A
S2023CS050,CS303,31.0,42.0,73.0,A
S2023CS050,CS304,37.0,52.0,89.0,A+
S2023CS050,CS305,31.0,47.0,78.0,A
S2023CS050,CS306,29.0,40.0,69.0,B+
S2023CS050,CS307,26.0,45.0,71.0,A
S2023CS050,CS308,27.0,55.0,82.0,A+
S2023CS051,CS301,22.0,38.0,60.0,B
S2023CS051,CS302,31.0,38.0,69.0,B+
S2023CS051,CS303,22.0,30.0,52.0,C
S2023CS051,CS304,27.0,40.0,67.0,B+
S2023CS051,CS305,29.0,42.0,71.0,A
S2023CS051,CS306,24.0,34.0,58.0,B
S2023CS051,CS307,23.0,31.0,54.0,C
S2023CS051,CS308,26.0,43.0,69.0,B+
S2023CS052,CS301,28.0,43.0,71.0,A
S2023CS052,CS302,25.0,34.0,59.0,B
S2023CS052,CS303,33.0,48.0,81.0,A+
S2023CS052,CS304,29.0,41.0,70.0,B+
S2023CS052,CS305,26.0,45.0,71.0,A
S2023CS052,CS306,32.0,46.0,78.0,A
S2023CS052,CS307,32.0,39.0,71.0,A
S2023CS052,CS308,26.0,44.0,70.0,B+
S2023CS053,CS301,32.0,43.0,75.0,A
S2023CS053,CS302,30.0,41.0,71.0,A
S2023CS053,CS303,32.0,48.0,80.0,A
S2023CS053,CS304,29.0,55.0,84.0,A+
S2023CS053,CS305,28.0,48.0,76.0,A
S2023CS053,CS306,26.0,53.0,79.0,A
S2023CS053,CS307,30.0,50.0,80.0,A
S2023CS053,CS308,32.0,45.0,77.0,A
S2023CS054,CS301,26.0,40.0,66.0,B+
S2023CS054,CS302,32.0,32.0,64.0,B+
S2023CS054,CS303,30.0,38.0,68.0,B+
S2023CS054,CS304,18.0,19.0,37.0,U
S2023CS054,CS305,34.0,39.0,73.0,A
S2023CS054,CS306,29.0,36.0,65.0,B+
S2023CS054,CS307,19.0,16.0,35.0,U
S2023CS054,CS308,27.0,46.0,73.0,A
S2023CS055,CS301,24.0,40.0,64.0,B+
S2023CS055,CS302,27.0,38.0,65.0,B+
S2023CS055,CS303,28.0,35.0,63.0,B+
S2023CS055,CS304,34.0,41.0,75.0,A
S2023CS055,CS305,22.0,37.0,59.0,B
S2023CS055,CS306,29.0,47.0,76.0,A
S2023CS055,CS307,29.0,35.0,64.0,B+
S2023CS055,CS308,29.0,41.0,70.0,B+
S2023CS056,CS301,35.0,46.0,81.0,A+
S2023CS056,CS302,31.0,49.0,80.0,A
S2023CS056,CS303,30.0,42.0,72.0,A
S2023CS056,CS304,34.0,43.0,77.0,A
S2023CS056,CS305,28.0,43.0,71.0,A
S2023CS056,CS306,32.0,53.0,85.0,A+
S2023CS056,CS307,28.0,42.0,70.0,B+
S2023CS056,CS308,28.0,47.0,75.0,A
S2023CS057,CS301,25.0,41.0,66.0,B+
S2023CS057,CS302,27.0,41.0,68.0,B+
S2023CS057,CS303,30.0,52.0,82.0,A+
S2023CS057,CS304,28.0,35.0,63.0,B+
S2023CS057,CS305,29.0,47.0,76.0,A
S2023CS057,CS306,33.0,46.0,79.0,A
S2023CS057,CS307,31.0,45.0,76.0,A
S2023CS057,CS308,26.0,45.0,71.0,A
S2023CS058,CS301,26.0,37.0,63.0,B+
S2023CS058,CS302,25.0,39.0,64.0,B+
S2023CS058,CS303,27.0,45.0,72.0,A
S2023CS058,CS304,30.0,49.0,79.0,A
S2023CS058,CS305,26.0,39.0,65.0,B+
S2023CS058,CS306,29.0,36.0,65.0,B+
S2023CS058,CS307,33.0,44.0,77.0,A
S2023CS058,CS308,23.0,46.0,69.0,B+
S2023CS059,CS301,32.0,47.0,79.0,A
S2023CS059,CS302,31.0,40.0,71.0,A
S2023CS059,CS303,29.0,40.0,69.0,B+
S2023CS059,CS304,31.0,46.0,77.0,A
S2023CS059,CS305,38.0,55.0,93.0,O
S2023CS059,CS306,37.0,45.0,82.0,A+
S2023CS059,CS307,32.0,40.0,72.0,A
S2023CS059,CS308,31.0,44.0,75.0,A
S2023CS060,CS301,39.0,46.0,85.0,A+
S2023CS060,CS302,33.0,50.0,83.0,A+
S2023CS060,CS303,30.0,39.0,69.0,B+
S2023CS060,CS304,24.0,44.0,68.0,B+
S2023CS060,CS305,35.0,45.0,80.0,A
S2023CS060,CS306,39.0,52.0,91.0,O
S2023CS060,CS307,30.0,45.0,75.0,A
S2023CS060,CS308,37.0,49.0,86.0,A+
S2022CS001,CS301,22.0,39.0,61.0,B+
S2022CS001,CS302,22.0,35.0,57.0,B
S2022CS001,CS303,18.0,16.0,34.0,U
S2022CS001,CS304,22.0,30.0,52.0,C
S2022CS001,CS305,28.0,36.0,64.0,B+
S2022CS001,CS306,24.0,37.0,61.0,B+
S2022CS001,CS307,26.0,38.0,64.0,B+
S2022CS001,CS308,24.0,36.0,60.0,B
S2022CS002,CS301,28.0,40.0,68.0,B+
S2022CS002,CS302,29.0,51.0,80.0,A
S2022CS002,CS303,25.0,41.0,66.0,B+
S2022CS002,CS304,30.0,42.0,72.0,A
S2022CS002,CS305,38.0,44.0,82.0,A+
S2022CS002,CS306,31.0,52.0,83.0,A+
S2022CS002,CS307,29.0,37.0,66.0,B+
S2022CS002,CS308,28.0,42.0,70.0,B+
S2022CS003,CS301,24.0,39.0,63.0,B+
S2022CS003,CS302,30.0,42.0,72.0,A
S2022CS003,CS303,31.0,39.0,70.0,B+
S2022CS003,CS304,26.0,44.0,70.0,B+
S2022CS003,CS305,29.0,47.0,76.0,A
S2022CS003,CS306,31.0,31.0,62.0,B+
S2022CS003,CS307,29.0,48.0,77.0,A
S2022CS003,CS308,28.0,46.0,74.0,A
S2022CS004,CS301,34.0,50.0,84.0,A+
S2022CS004,CS302,31.0,52.0,83.0,A+
S2022CS004,CS303,35.0,51.0,86.0,A+
S2022CS004,CS304,40.0,56.0,96.0,O
S2022CS004,CS305,35.0,51.0,86.0,A+
S2022CS004,CS306,31.0,54.0,85.0,A+
S2022CS004,CS307,32.0,48.0,80.0,A
S2022CS004,CS308,40.0,53.0,93.0,O
S2022CS005,CS301,36.0,60.0,96.0,O
S2022CS005,CS302,30.0,44.0,74.0,A
S2022CS005,CS303,28.0,42.0,70.0,B+
S2022CS005,CS304,35.0,46.0,81.0,A+
S2022CS005,CS305,34.0,57.0,91.0,O
S2022CS005,CS306,36.0,46.0,82.0,A+
S2022CS005,CS307,31.0,49.0,80.0,A
S2022CS005,CS308,29.0,48.0,77.0,A
S2022CS006,CS301,27.0,41.0,68.0,B+
S2022CS006,CS302,27.0,45.0,72.0,A
S2022CS006,CS303,25.0,40.0,65.0,B+
S2022CS006,CS304,29.0,42.0,71.0,A
S2022CS006,CS305,21.0,24.0,45.0,U
S2022CS006,CS306,31.0,36.0,67.0,B+
S2022CS006,CS307,24.0,47.0,71.0,A
S2022CS006,CS308,24.0,43.0,67.0,B+
S2022CS007,CS301,24.0,32.0,56.0,B
S2022CS007,CS302,24.0,42.0,66.0,B+
S2022CS007,CS303,24.0,37.0,61.0,B+
S2022CS007,CS304,27.0,35.0,62.0,B+
S2022CS007,CS305,23.0,32.0,55.0,C
S2022CS007,CS306,23.0,35.0,58.0,B
S2022CS007,CS307,22.0,31.0,53.0,C
S2022CS007,CS308,26.0,20.0,46.0,U
S2022CS008,CS301,38.0,46.0,84.0,A+
S2022CS008,CS302,25.0,50.0,75.0,A
S2022CS008,CS303,32.0,41.0,73.0,A
S2022CS008,CS304,26.0,37.0,63.0,B+
S2022CS008,CS305,33.0,42.0,75.0,A
S2022CS008,CS306,30.0,44.0,74.0,A
S2022CS008,CS307,26.0,47.0,73.0,A
S2022CS008,CS308,26.0,46.0,72.0,A
S2022CS009,CS301,28.0,44.0,72.0,A
S2022CS009,CS302,27.0,44.0,71.0,A
S2022CS009,CS303,28.0,51.0,79.0,A
S2022CS009,CS304,29.0,51.0,80.0,A
