student_id,course_code,semester
S2023CS009,CS308,2025-26 EVEN
S2023CS010,CS301,2025-26 ODD
S2023CS010,CS302,2025-26 ODD
S2023CS010,CS303,2025-26 ODD
S2023CS010,CS304,2025-26 ODD
S2023CS010,CS305,2025-26 EVEN
S2023CS010,CS306,2025-26 EVEN
S2023CS010,CS307,2025-26 EVEN
S2023CS010,CS308,2025-26 EVEN
S2023CS011,CS301,2025-26 ODD
S2023CS011,CS302,2025-26 ODD
S2023CS011,CS303,2025-26 ODD
S2023CS011,CS304,2025-26 ODD
S2023CS011,CS305,2025-26 EVEN
S2023CS011,CS306,2025-26 EVEN
S2023CS011,CS307,2025-26 EVEN
S2023CS011,CS308,2025-26 EVEN
S2023CS012,CS301,2025-26 ODD
S2023CS012,CS302,2025-26 ODD
S2023CS012,CS303,2025-26 ODD
S2023CS012,CS304,2025-26 ODD
S2023CS012,CS305,2025-26 EVEN
S2023CS012,CS306,2025-26 EVEN
S2023CS012,CS307,2025-26 EVEN
S2023CS012,CS308,2025-26 EVEN
S2023CS013,CS301,2025-26 ODD
S2023CS013,CS302,2025-26 ODD
S2023CS013,CS303,2025-26 ODD
S2023CS013,CS304,2025-26 ODD
S2023CS013,CS305,2025-26 EVEN
S2023CS013,CS306,2025-26 EVEN
S2023CS013,CS307,2025-26 EVEN
S2023CS013,CS308,2025-26 EVEN
S2023CS014,CS301,2025-26 ODD
S2023CS014,CS302,2025-26 ODD
S2023CS014,CS303,2025-26 ODD
S2023CS014,CS304,2025-26 ODD
S2023CS014,CS305,2025-26 EVEN
S2023CS014,CS306,2025-26 EVEN
S2023CS014,CS307,2025-26 EVEN
S2023CS014,CS308,2025-26 EVEN
S2023CS015,CS301,2025-26 ODD
S2023CS015,CS302,2025-26 ODD
S2023CS015,CS303,2025-26 ODD
S2023CS015,CS304,2025-26 ODD
S2023CS015,CS305,2025-26 EVEN
S2023CS015,CS306,2025-26 EVEN
S2023CS015,CS307,2025-26 EVEN
S2023CS015,CS308,2025-26 EVEN
S2023CS016,CS301,2025-26 ODD
S2023CS016,CS302,2025-26 ODD
S2023CS016,CS303,2025-26 ODD
S2023CS016,CS304,2025-26 ODD
S2023CS016,CS305,2025-26 EVEN
S2023CS016,CS306,2025-26 EVEN
S2023CS016,CS307,2025-26 EVEN
S2023CS016,CS308,2025-26 EVEN
S2023CS017,CS301,2025-26 ODD
S2023CS017,CS302,2025-26 ODD
S2023CS017,CS303,2025-26 ODD
S2023CS017,CS304,2025-26 ODD
S2023CS017,CS305,2025-26 EVEN
S2023CS017,CS306,2025-26 EVEN
S2023CS017,CS307,2025-26 EVEN
S2023CS017,CS308,2025-26 EVEN
S2023CS018,CS301,2025-26 ODD
S2023CS018,CS302,2025-26 ODD
S2023CS018,CS303,2025-26 ODD
S2023CS018,CS304,2025-26 ODD
S2023CS018,CS305,2025-26 EVEN
S2023CS018,CS306,2025-26 EVEN
S2023CS018,CS307,2025-26 EVEN
S2023CS018,CS308,2025-26 EVEN
S2023CS019,CS301,2025-26 ODD
S2023CS019,CS302,2025-26 ODD
S2023CS019,CS303,2025-26 ODD
S2023CS019,CS304,2025-26 ODD
S2023CS019,CS305,2025-26 EVEN
S2023CS019,CS306,2025-26 EVEN
S2023CS019,CS307,2025-26 EVEN
S2023CS019,CS308,2025-26 EVEN
S2023CS020,CS301,2025-26 ODD
S2023CS020,CS302,2025-26 ODD
S2023CS020,CS303,2025-26 ODD
S2023CS020,CS304,2025-26 ODD
S2023CS020,CS305,2025-26 EVEN
S2023CS020,CS306,2025-26 EVEN
S2023CS020,CS307,2025-26 EVEN
S2023CS020,CS308,2025-26 EVEN
S2023CS021,CS301,2025-26 ODD
S2023CS021,CS302,2025-26 ODD
S2023CS021,CS303,2025-26 ODD
S2023CS021,CS304,2025-26 ODD
S2023CS021,CS305,2025-26 EVEN
S2023CS021,CS306,2025-26 EVEN
S2023CS021,CS307,2025-26 EVEN
S2023CS021,CS308,2025-26 EVEN
S2023CS022,CS301,2025-26 ODD
S2023CS022,CS302,2025-26 ODD
S2023CS022,CS303,2025-26 ODD
S2023CS022,CS304,2025-26 ODD
S2023CS022,CS305,2025-26 EVEN
S2023CS022,CS306,2025-26 EVEN
S2023CS022,CS307,2025-26 EVEN
S2023CS022,CS308,2025-26 EVEN
S2023CS023,CS301,2025-26 ODD
S2023CS023,CS302,2025-26 ODD
S2023CS023,CS303,2025-26 ODD
S2023CS023,CS304,2025-26 ODD
S2023CS023,CS305,2025-26 EVEN
S2023CS023,CS306,2025-26 EVEN
S2023CS023,CS307,2025-26 EVEN
S2023CS023,CS308,2025-26 EVEN
S2023CS024,CS301,2025-26 ODD
S2023CS024,CS302,2025-26 ODD
S2023CS024,CS303,2025-26 ODD
S2023CS024,CS304,2025-26 ODD
S2023CS024,CS305,2025-26 EVEN
S2023CS024,CS306,2025-26 EVEN
S2023CS024,CS307,2025-26 EVEN
S2023CS024,CS308,2025-26 EVEN
S2023CS025,CS301,2025-26 ODD
S2023CS025,CS302,2025-26 ODD
S2023CS025,CS303,2025-26 ODD
S2023CS025,CS304,2025-26 ODD
S2023CS025,CS305,2025-26 EVEN
S2023CS025,CS306,2025-26 EVEN
S2023CS025,CS307,2025-26 EVEN
S2023CS025,CS308,2025-26 EVEN
S2023CS026,CS301,2025-26 ODD
S2023CS026,CS302,2025-26 ODD
S2023CS026,CS303,2025-26 ODD
S2023CS026,CS304,2025-26 ODD
S2023CS026,CS305,2025-26 EVEN
S2023CS026,CS306,2025-26 EVEN
S2023CS026,CS307,2025-26 EVEN
S2023CS026,CS308,2025-26 EVEN
S2023CS027,CS301,2025-26 ODD
S2023CS027,CS302,2025-26 ODD
S2023CS027,CS303,2025-26 ODD
S2023CS027,CS304,2025-26 ODD
S2023CS027,CS305,2025-26 EVEN
S2023CS027,CS306,2025-26 EVEN
S2023CS027,CS307,2025-26 EVEN
S2023CS027,CS308,2025-26 EVEN
S2023CS028,CS301,2025-26 ODD
S2023CS028,CS302,2025-26 ODD
S2023CS028,CS303,2025-26 ODD
S2023CS028,CS304,2025-26 ODD
S2023CS028,CS305,2025-26 EVEN
S2023CS028,CS306,2025-26 EVEN
S2023CS028,CS307,2025-26 EVEN
S2023CS028,CS308,2025-26 EVEN
S2023CS029,CS301,2025-26 ODD
S2023CS029,CS302,2025-26 ODD
S2023CS029,CS303,2025-26 ODD
S2023CS029,CS304,2025-26 ODD
S2023CS029,CS305,2025-26 EVEN
S2023CS029,CS306,2025-26 EVEN
S2023CS029,CS307,2025-26 EVEN
S2023CS029,CS308,2025-26 EVEN
S2023CS030,CS301,2025-26 ODD
S2023CS030,CS302,2025-26 ODD
S2023CS030,CS303,2025-26 ODD
S2023CS030,CS304,2025-26 ODD
S2023CS030,CS305,2025-26 EVEN
S2023CS030,CS306,2025-26 EVEN
S2023CS030,CS307,2025-26 EVEN
S2023CS030,CS308,2025-26 EVEN
S2023CS031,CS301,2025-26 ODD
S2023CS031,CS302,2025-26 ODD
S2023CS031,CS303,2025-26 ODD
S2023CS031,CS304,2025-26 ODD
S2023CS031,CS305,2025-26 EVEN
S2023CS031,CS306,2025-26 EVEN
S2023CS031,CS307,2025-26 EVEN
S2023CS031,CS308,2025-26 EVEN
S2023CS032,CS301,2025-26 ODD
S2023CS032,CS302,2025-26 ODD
S2023CS032,CS303,2025-26 ODD
S2023CS032,CS304,2025-26 ODD
S2023CS032,CS305,2025-26 EVEN
S2023CS032,CS306,2025-26 EVEN
S2023CS032,CS307,2025-26 EVEN
S2023CS032,CS308,2025-26 EVEN
S2023CS033,CS301,2025-26 ODD
S2023CS033,CS302,2025-26 ODD
S2023CS033,CS303,2025-26 ODD
S2023CS033,CS304,2025-26 ODD
S2023CS033,CS305,2025-26 EVEN
S2023CS033,CS306,2025-26 EVEN
S2023CS033,CS307,2025-26 EVEN
S2023CS033,CS308,2025-26 EVEN
S2023CS034,CS301,2025-26 ODD
S2023CS034,CS302,2025-26 ODD
S2023CS034,CS303,2025-26 ODD
S2023CS034,CS304,2025-26 ODD
S2023CS034,CS305,2025-26 EVEN
S2023CS034,CS306,2025-26 EVEN
S2023CS034,CS307,2025-26 EVEN
S2023CS034,CS308,2025-26 EVEN
S2023CS035,CS301,2025-26 ODD
S2023CS035,CS302,2025-26 ODD
S2023CS035,CS303,2025-26 ODD
S2023CS035,CS304,2025-26 ODD
S2023CS035,CS305,2025-26 EVEN
S2023CS035,CS306,2025-26 EVEN
S2023CS035,CS307,2025-26 EVEN
S2023CS035,CS308,2025-26 EVEN
S2023CS036,CS301,2025-26 ODD
S2023CS036,CS302,2025-26 ODD
S2023CS036,CS303,2025-26 ODD
S2023CS036,CS304,2025-26 ODD
S2023CS036,CS305,2025-26 EVEN
S2023CS036,CS306,2025-26 EVEN
S2023CS036,CS307,2025-26 EVEN
S2023CS036,CS308,2025-26 EVEN
S2023CS037,CS301,2025-26 ODD
S2023CS037,CS302,2025-26 ODD
S2023CS037,CS303,2025-26 ODD
S2023CS037,CS304,2025-26 ODD
S2023CS037,CS305,2025-26 EVEN
S2023CS037,CS306,2025-26 EVEN
S2023CS037,CS307,2025-26 EVEN
S2023CS037,CS308,2025-26 EVEN
S2023CS038,CS301,2025-26 ODD
S2023CS038,CS302,2025-26 ODD
S2023CS038,CS303,2025-26 ODD
S2023CS038,CS304,2025-26 ODD
S2023CS038,CS305,2025-26 EVEN
S2023CS038,CS306,2025-26 EVEN
S2023CS038,CS307,2025-26 EVEN
S2023CS038,CS308,2025-26 EVEN
S2023CS039,CS301,2025-26 ODD
S2023CS039,CS302,2025-26 ODD
S2023CS039,CS303,2025-26 ODD
S2023CS039,CS304,2025-26 ODD
S2023CS039,CS305,2025-26 EVEN
S2023CS039,CS306,2025-26 EVEN
S2023CS039,CS307,2025-26 EVEN
S2023CS039,CS308,2025-26 EVEN
S2023CS040,CS301,2025-26 ODD
S2023CS040,CS302,2025-26 ODD
S2023CS040,CS303,2025-26 ODD
S2023CS040,CS304,2025-26 ODD
S2023CS040,CS305,2025-26 EVEN
S2023CS040,CS306,2025-26 EVEN
S2023CS040,CS307,2025-26 EVEN
S2023CS040,CS308,2025-26 EVEN
S2023CS041,CS301,2025-26 ODD
S2023CS041,CS302,2025-26 ODD
S2023CS041,CS303,2025-26 ODD
S2023CS041,CS304,2025-26 ODD
S2023CS041,CS305,2025-26 EVEN
S2023CS041,CS306,2025-26 EVEN
S2023CS041,CS307,2025-26 EVEN
S2023CS041,CS308,2025-26 EVEN
S2023CS042,CS301,2025-26 ODD
S2023CS042,CS302,2025-26 ODD
S2023CS042,CS303,2025-26 ODD
S2023CS042,CS304,2025-26 ODD
S2023CS042,CS305,2025-26 EVEN
S2023CS042,CS306,2025-26 EVEN
S2023CS042,CS307,2025-26 EVEN
S2023CS042,CS308,2025-26 EVEN
S2023CS043,CS301,2025-26 ODD
S2023CS043,CS302,2025-26 ODD
S2023CS043,CS303,2025-26 ODD
S2023CS043,CS304,2025-26 ODD
S2023CS043,CS305,2025-26 EVEN
S2023CS043,CS306,2025-26 EVEN
S2023CS043,CS307,2025-26 EVEN
S2023CS043,CS308,2025-26 EVEN
S2023CS044,CS301,2025-26 ODD
S2023CS044,CS302,2025-26 ODD
S2023CS044,CS303,2025-26 ODD
S2023CS044,CS304,2025-26 ODD
S2023CS044,CS305,2025-26 EVEN
S2023CS044,CS306,2025-26 EVEN
S2023CS044,CS307,2025-26 EVEN
S2023CS044,CS308,2025-26 EVEN
S2023CS045,CS301,2025-26 ODD
S2023CS045,CS302,2025-26 ODD
S2023CS045,CS303,2025-26 ODD
S2023CS045,CS304,2025-26 ODD
S2023CS045,CS305,2025-26 EVEN
S2023CS045,CS306,2025-26 EVEN
S2023CS045,CS307,2025-26 EVEN
S2023CS045,CS308,2025-26 EVEN
S2023CS046,CS301,2025-26 ODD
S2023CS046,CS302,2025-26 ODD
S2023CS046,CS303,2025-26 ODD
S2023CS046,CS304,2025-26 ODD
S2023CS046,CS305,2025-26 EVEN
S2023CS046,CS306,2025-26 EVEN
S2023CS046,CS307,2025-26 EVEN
S2023CS046,CS308,2025-26 EVEN
S2023CS047,CS301,2025-26 ODD
S2023CS047,CS302,2025-26 ODD
S2023CS047,CS303,2025-26 ODD
S2023CS047,CS304,2025-26 ODD
S2023CS047,CS305,2025-26 EVEN
S2023CS047,CS306,2025-26 EVEN
S2023CS047,CS307,2025-26 EVEN
S2023CS047,CS308,2025-26 EVEN
S2023CS048,CS301,2025-26 ODD
S2023CS048,CS302,2025-26 ODD
S2023CS048,CS303,2025-26 ODD
S2023CS048,CS304,2025-26 ODD
S2023CS048,CS305,2025-26 EVEN
S2023CS048,CS306,2025-26 EVEN
S2023CS048,CS307,2025-26 EVEN
S2023CS048,CS308,2025-26 EVEN
S2023CS049,CS301,2025-26 ODD
S2023CS049,CS302,2025-26 ODD
S2023CS049,CS303,2025-26 ODD
S2023CS049,CS304,2025-26 ODD
S2023CS049,CS305,2025-26 EVEN
S2023CS049,CS306,2025-26 EVEN
S2023CS049,CS307,2025-26 EVEN
S2023CS049,CS308,2025-26 EVEN
S2023CS050,CS301,2025-26 ODD
S2023CS050,CS302,2025-26 ODD
S2023CS050,CS303,2025-26 ODD
S2023CS050,CS304,2025-26 ODD
S2023CS050,CS305,2025-26 EVEN
S2023CS050,CS306,2025-26 EVEN
S2023CS050,CS307,2025-26 EVEN
S2023CS050,CS308,2025-26 EVEN
S2023CS051,CS301,2025-26 ODD
S2023CS051,CS302,2025-26 ODD
S2023CS051,CS303,2025-26 ODD
S2023CS051,CS304,2025-26 ODD
S2023CS051,CS305,2025-26 EVEN
S2023CS051,CS306,2025-26 EVEN
S2023CS051,CS307,2025-26 EVEN
S2023CS051,CS308,2025-26 EVEN
S2023CS052,CS301,2025-26 ODD
S2023CS052,CS302,2025-26 ODD
S2023CS052,CS303,2025-26 ODD
S2023CS052,CS304,2025-26 ODD
S2023CS052,CS305,2025-26 EVEN
S2023CS052,CS306,2025-26 EVEN
S2023CS052,CS307,2025-26 EVEN
S2023CS052,CS308,2025-26 EVEN
S2023CS053,CS301,2025-26 ODD
S2023CS053,CS302,2025-26 ODD
S2023CS053,CS303,2025-26 ODD
S2023CS053,CS304,2025-26 ODD
S2023CS053,CS305,2025-26 EVEN
S2023CS053,CS306,2025-26 EVEN
S2023CS053,CS307,2025-26 EVEN
S2023CS053,CS308,2025-26 EVEN
S2023CS054,CS301,2025-26 ODD
S2023CS054,CS302,2025-26 ODD
S2023CS054,CS303,2025-26 ODD
S2023CS054,CS304,2025-26 ODD
S2023CS054,CS305,2025-26 EVEN
S2023CS054,CS306,2025-26 EVEN
S2023CS054,CS307,2025-26 EVEN
S2023CS054,CS308,2025-26 EVEN
S2023CS055,CS301,2025-26 ODD
S2023CS055,CS302,2025-26 ODD
S2023CS055,CS303,2025-26 ODD
S2023CS055,CS304,2025-26 ODD
S2023CS055,CS305,2025-26 EVEN
S2023CS055,CS306,2025-26 EVEN
S2023CS055,CS307,2025-26 EVEN
S2023CS055,CS308,2025-26 EVEN
S2023CS056,CS301,2025-26 ODD
S2023CS056,CS302,2025-26 ODD
S2023CS056,CS303,2025-26 ODD
S2023CS056,CS304,2025-26 ODD
S2023CS056,CS305,2025-26 EVEN
S2023CS056,CS306,2025-26 EVEN
S2023CS056,CS307,2025-26 EVEN
S2023CS056,CS308,2025-26 EVEN
S2023CS057,CS301,2025-26 ODD
S2023CS057,CS302,2025-26 ODD
S2023CS057,CS303,2025-26 ODD
S2023CS057,CS304,2025-26 ODD
S2023CS057,CS305,2025-26 EVEN
S2023CS057,CS306,2025-26 EVEN
S2023CS057,CS307,2025-26 EVEN
S2023CS057,CS308,2025-26 EVEN
S2023CS058,CS301,2025-26 ODD
S2023CS058,CS302,2025-26 ODD
S2023CS058,CS303,2025-26 ODD
S2023CS058,CS304,2025-26 ODD
S2023CS058,CS305,2025-26 EVEN
S2023CS058,CS306,2025-26 EVEN
S2023CS058,CS307,2025-26 EVEN
S2023CS058,CS308,2025-26 EVEN
S2023CS059,CS301,2025-26 ODD
S2023CS059,CS302,2025-26 ODD
S2023CS059,CS303,2025-26 ODD
S2023CS059,CS304,2025-26 ODD
S2023CS059,CS305,2025-26 EVEN
S2023CS059,CS306,2025-26 EVEN
S2023CS059,CS307,2025-26 EVEN
S2023CS059,CS308,2025-26 EVEN
S2023CS060,CS301,2025-26 ODD
S2023CS060,CS302,2025-26 ODD
S2023CS060,CS303,2025-26 ODD
S2023CS060,CS304,2025-26 ODD
S2023CS060,CS305,2025-26 EVEN
S2023CS060,CS306,2025-26 EVEN
S2023CS060,CS307,2025-26 EVEN
S2023CS060,CS308,2025-26 EVEN
S2022CS001,CS301,2025-26 ODD
S2022CS001,CS302,2025-26 ODD
S2022CS001,CS303,2025-26 ODD
S2022CS001,CS304,2025-26 ODD
S2022CS001,CS305,2025-26 EVEN
S2022CS001,CS306,2025-26 EVEN
S2022CS001,CS307,2025-26 EVEN
S2022CS001,CS308,2025-26 EVEN
S2022CS002,CS301,2025-26 ODD
S2022CS002,CS302,2025-26 ODD
S2022CS002,CS303,2025-26 ODD
S2022CS002,CS304,2025-26 ODD
S2022CS002,CS305,2025-26 EVEN
S2022CS002,CS306,2025-26 EVEN
S2022CS002,CS307,2025-26 EVEN
S2022CS002,CS308,2025-26 EVEN
S2022CS003,CS301,2025-26 ODD
S2022CS003,CS302,2025-26 ODD
S2022CS003,CS303,2025-26 ODD
S2022CS003,CS304,2025-26 ODD
S2022CS003,CS305,2025-26 EVEN
S2022CS003,CS306,2025-26 EVEN
S2022CS003,CS307,2025-26 EVEN
S2022CS003,CS308,2025-26 EVEN
S2022CS004,CS301,2025-26 ODD
S2022CS004,CS302,2025-26 ODD
S2022CS004,CS303,2025-26 ODD
S2022CS004,CS304,2025-26 ODD
S2022CS004,CS305,2025-26 EVEN
S2022CS004,CS306,2025-26 EVEN
S2022CS004,CS307,2025-26 EVEN
S2022CS004,CS308,2025-26 EVEN
S2022CS005,CS301,2025-26 ODD
S2022CS005,CS302,2025-26 ODD
S2022CS005,CS303,2025-26 ODD
S2022CS005,CS304,2025-26 ODD
S2022CS005,CS305,2025-26 EVEN
S2022CS005,CS306,2025-26 EVEN
S2022CS005,CS307,2025-26 EVEN
S2022CS005,CS308,2025-26 EVEN
S2022CS006,CS301,2025-26 ODD
S2022CS006,CS302,2025-26 ODD
S2022CS006,CS303,2025-26 ODD
S2022CS006,CS304,2025-26 ODD
S2022CS006,CS305,2025-26 EVEN
S2022CS006,CS306,2025-26 EVEN
S2022CS006,CS307,2025-26 EVEN
S2022CS006,CS308,2025-26 EVEN
S2022CS007,CS301,2025-26 ODD
S2022CS007,CS302,2025-26 ODD
S2022CS007,CS303,2025-26 ODD
S2022CS007,CS304,2025-26 ODD
S2022CS007,CS305,2025-26 EVEN
S2022CS007,CS306,2025-26 EVEN
S2022CS007,CS307,2025-26 EVEN
S2022CS007,CS308,2025-26 EVEN
S2022CS008,CS301,2025-26 ODD
S2022CS008,CS302,2025-26 ODD
S2022CS008,CS303,2025-26 ODD
S2022CS008,CS304,2025-26 ODD
S2022CS008,CS305,2025-26 EVEN
S2022CS008,CS306,2025-26 EVEN
S2022CS008,CS307,2025-26 EVEN
S2022CS008,CS308,2025-26 EVEN
S2022CS009,CS301,2025-26 ODD
S2022CS009,CS302,2025-26 ODD
S2022CS009,CS303,2025-26 ODD
S2022CS009,CS304,2025-26 ODD
S2022CS009,CS305,2025-26 EVEN
S2022CS009,CS306,2025-26 EVEN
S2022CS009,CS307,2025-26 EVEN
S2022CS009,CS308,2025-26 EVEN
S2022CS010,CS301,2025-26 ODD
S2022CS010,CS302,2025-26 ODD
S2022CS010,CS303,2025-26 ODD
S2022CS010,CS304,2025-26 ODD
S2022CS010,CS305,2025-26 EVEN
S2022CS010,CS306,2025-26 EVEN
S2022CS010,CS307,2025-26 EVEN
S2022CS010,CS308,2025-26 EVEN
S2022CS011,CS301,2025-26 ODD
S2022CS011,CS302,2025-26 ODD
S2022CS011,CS303,2025-26 ODD
S2022CS011,CS304,2025-26 ODD
S2022CS011,CS305,2025-26 EVEN
S2022CS011,CS306,2025-26 EVEN
S2022CS011,CS307,2025-26 EVEN
S2022CS011,CS308,2025-26 EVEN
S2022CS012,CS301,2025-26 ODD
S2022CS012,CS302,2025-26 ODD
S2022CS012,CS303,2025-26 ODD
S2022CS012,CS304,2025-26 ODD
S2022CS012,CS305,2025-26 EVEN
S2022CS012,CS306,2025-26 EVEN
S2022CS012,CS307,2025-26 EVEN
S2022CS012,CS308,2025-26 EVEN
S2022CS013,CS301,2025-26 ODD
S2022CS013,CS302,2025-26 ODD
S2022CS013,CS303,2025-26 ODD
S2022CS013,CS304,2025-26 ODD
S2022CS013,CS305,2025-26 EVEN
S2022CS013,CS306,2025-26 EVEN
S2022CS013,CS307,2025-26 EVEN
S2022CS013,CS308,2025-26 EVEN
S2022CS014,CS301,2025-26 ODD
S2022CS014,CS302,2025-26 ODD
S2022CS014,CS303,2025-26 ODD
S2022CS014,CS304,2025-26 ODD
S2022CS014,CS305,2025-26 EVEN
S2022CS014,CS306,2025-26 EVEN
S2022CS014,CS307,2025-26 EVEN
S2022CS014,CS308,2025-26 EVEN
S2022CS015,CS301,2025-26 ODD
S2022CS015,CS302,2025-26 ODD
S2022CS015,CS303,2025-26 ODD
S2022CS015,CS304,2025-26 ODD
S2022CS015,CS305,2025-26 EVEN
S2022CS015,CS306,2025-26 EVEN
S2022CS015,CS307,2025-26 EVEN
S2022CS015,CS308,2025-26 EVEN
S2022CS016,CS301,2025-26 ODD
S2022CS016,CS302,2025-26 ODD
S2022CS016,CS303,2025-26 ODD
S2022CS016,CS304,2025-26 ODD
S2022CS016,CS305,2025-26 EVEN
S2022CS016,CS306,2025-26 EVEN
S2022CS016,CS307,2025-26 EVEN
S2022CS016,CS308,2025-26 EVEN
S2022CS017,CS301,2025-26 ODD
S2022CS017,CS302,2025-26 ODD
S2022CS017,CS303,2025-26 ODD
S2022CS017,CS304,2025-26 ODD
S2022CS017,CS305,2025-26 EVEN
S2022CS017,CS306,2025-26 EVEN
S2022CS017,CS307,2025-26 EVEN
S2022CS017,CS308,2025-26 EVEN
S2022CS018,CS301,2025-26 ODD
S2022CS018,CS302,2025-26 ODD
S2022CS018,CS303,2025-26 ODD
S2022CS018,CS304,2025-26 ODD
S2022CS018,CS305,2025-26 EVEN
S2022CS018,CS306,2025-26 EVEN
S2022CS018,CS307,2025-26 EVEN
S2022CS018,CS308,2025-26 EVEN
S2022CS019,CS301,2025-26 ODD
S2022CS019,CS302,2025-26 ODD
S2022CS019,CS303,2025-26 ODD
S2022CS019,CS304,2025-26 ODD
S2022CS019,CS305,2025-26 EVEN
S2022CS019,CS306,2025-26 EVEN
S2022CS019,CS307,2025-26 EVEN
S2022CS019,CS308,2025-26 EVEN
S2022CS020,CS301,2025-26 ODD
S2022CS020,CS302,2025-26 ODD
S2022CS020,CS303,2025-26 ODD
S2022CS020,CS304,2025-26 ODD
S2022CS020,CS305,2025-26 EVEN
S2022CS020,CS306,2025-26 EVEN
S2022CS020,CS307,2025-26 EVEN
S2022CS020,CS308,2025-26 EVEN
S2022CS021,CS301,2025-26 ODD
S2022CS021,CS302,2025-26 ODD
S2022CS021,CS303,2025-26 ODD
S2022CS021,CS304,2025-26 ODD
S2022CS021,CS305,2025-26 EVEN
S2022CS021,CS306,2025-26 EVEN
S2022CS021,CS307,2025-26 EVEN
S2022CS021,CS308,2025-26 EVEN
S2022CS022,CS301,2025-26 ODD
S2022CS022,CS302,2025-26 ODD
S2022CS022,CS303,2025-26 ODD
S2022CS022,CS304,2025-26 ODD
S2022CS022,CS305,2025-26 EVEN
S2022CS022,CS306,2025-26 EVEN
S2022CS022,CS307,2025-26 EVEN
S2022CS022,CS308,2025-26 EVEN
S2022CS023,CS301,2025-26 ODD
S2022CS023,CS302,2025-26 ODD
S2022CS023,CS303,2025-26 ODD
S2022CS023,CS304,2025-26 ODD
S2022CS023,CS305,2025-26 EVEN
S2022CS023,CS306,2025-26 EVEN
S2022CS023,CS307,2025-26 EVEN
S2022CS023,CS308,2025-26 EVEN
S2022CS024,CS301,2025-26 ODD
S2022CS024,CS302,2025-26 ODD
S2022CS024,CS303,2025-26 ODD
S2022CS024,CS304,2025-26 ODD
S2022CS024,CS305,2025-26 EVEN
S2022CS024,CS306,2025-26 EVEN
S2022CS024,CS307,2025-26 EVEN
S2022CS024,CS308,2025-26 EVEN
S2022CS025,CS301,2025-26 ODD
S2022CS025,CS302,2025-26 ODD
S2022CS025,CS303,2025-26 ODD
S2022CS025,CS304,2025-26 ODD
S2022CS025,CS305,2025-26 EVEN
S2022CS025,CS306,2025-26 EVEN
S2022CS025,CS307,2025-26 EVEN
S2022CS025,CS308,2025-26 EVEN
S2022CS026,CS301,2025-26 ODD
